event_id,date,actor_id,event_type,project_name,nem_region,rez,capacity_mw,technology,source_type,description,source_url,confidence,notes
c001,2022-08-XX,a004,delisting,,national,,,,asx_disclosure,Tilt Renewables delisting completed after Powering Australian Renewables / Mercury acquisition,https://www.asx.com.au/markets/company/TLT,needs_verify,Exact delisting date and structure to confirm - major signal in CWO/NER markets
c002,2022-XX-XX,a003,acquisition,,national,"NER,QLD_SOUTH",,,media_release,Squadron Energy acquires CWP Renewables Australia portfolio,https://www.squadronenergy.com,needs_verify,Major consolidation event - check exact deal close
c003,2024-03-XX,a002,acquisition,,national,"CWO,NER,SWN,HCC",,,asx_disclosure,Brookfield/EIG acquisition of Origin Energy completes,https://www.asx.com.au/markets/company/ORG,needs_verify,Originally announced 2022; deal completed 2024 after revisions
c004,2024-XX-XX,a007,acquisition,,national,"NER,QLD_SOUTH",,,media_release,Brookfield announces acquisition of Neoen,https://www.brookfield.com,needs_verify,French listing - check ASX equivalent disclosures
c005,2024-XX-XX,a014,takeover,,national,"NER,QLD_NORTH",,,asx_disclosure,Skip Capital/Stonepeak takeover of Genex Power,https://www.asx.com.au/markets/company/GNX,needs_verify,Takeover bid timeline
c006,2020-XX-XX,a008,acquisition,,national,"NER,QLD_SOUTH",,,media_release,Iberdrola acquires Infigen Energy,https://www.iberdrola.com,needs_verify,Pre-REZ but affects subsequent NER investment posture
c007,2023-11-08,a015,access_rights_award,,NSW1,CWO,,solar+wind+storage,media_release,Quinbrook awarded CWO access rights (Valley of Lights project),https://www.energyco.nsw.gov.au,needs_verify,Part of first CWO access rights round - check exact projects and capacities
c008,2023-11-08,a017,access_rights_award,,NSW1,CWO,,,media_release,Palisade awarded CWO access rights,https://www.energyco.nsw.gov.au,needs_verify,Same round as c007 - verify project details
c009,2023-11-08,a016,access_rights_award,,NSW1,CWO,,,media_release,Octopus awarded CWO access rights,https://www.energyco.nsw.gov.au,needs_verify,Same round - verify project details
c010,2024-XX-XX,a020,fid,MacIntyre Wind Farm,QLD1,QLD_SOUTH,1026,wind,media_release,Ark Energy / Acciona MacIntyre Wind Farm financial close,https://www.arkenergy.com.au,needs_verify,Largest wind farm in southern hemisphere - major signal
c011,2024-04-XX,a009,project_announcement,,NSW1,NER,,wind,media_release,Engie Hills of Gold wind farm progresses,https://www.engie.com.au,needs_verify,Notable for NER-specific signal
c012,2023-XX-XX,a005,commissioning,New England Solar Farm,NSW1,NER,720,solar,media_release,Acen New England Solar Farm Stage 1 energised,https://www.acenrenewables.com.au,needs_verify,Major NER commissioning signal
c013,2024-XX-XX,a001,strategy_update,,national,,,,asx_disclosure,AGL updates Climate Transition Action Plan with accelerated coal closures,https://www.asx.com.au/markets/company/AGL,needs_verify,Recurring annual update - check most recent
c014,2024-XX-XX,a022,capital_deployment,,national,"NER,QLD_SOUTH",,,media_release,Brookfield announces $30bn AU energy transition capital deployment plan,https://www.brookfield.com,needs_verify,Major scale signal post-Origin/Neoen
c015,2023-XX-XX,a021,acquisition,Windlab,national,,,,media_release,Squadron / Tattarang acquires Windlab pipeline,https://www.squadronenergy.com,needs_verify,Adds development capability to Squadron platform
c016,2024-XX-XX,a015,fid,Supernode,QLD1,QLD_SOUTH,,battery,media_release,Quinbrook Supernode battery FID,https://www.quinbrook.com,needs_verify,Major QLD battery signal
c017,2024-XX-XX,a012,project_announcement,,QLD1,"QLD_CENTRAL,QLD_NORTH",,,media_release,CleanCo project pipeline announcements,https://www.cleancoqueensland.com.au,needs_verify,State-owned signal in QLD
c018,2024-10-26,,policy_environment_shift,,QLD1,"QLD_SOUTH,QLD_CENTRAL,QLD_NORTH",,,media_release,QLD LNP election victory - energy policy uncertainty,,verified,"Not strictly a corporate event but a major environmental shift affecting all QLD actors - kept here for completeness"
c019,2023-XX-XX,a019,asset_purchase,,national,"NER",,,asx_disclosure,Mercury NZ takes Tilt Australia stake,https://www.mercury.co.nz,needs_verify,Continuation of c001 transaction structure
c020,2024-XX-XX,a002,project_acceleration,,national,"CWO,NER",,,media_release,Origin announces accelerated renewables investment under Brookfield ownership,,needs_verify,Post-deal-close strategy signal
